I (48037) extender_vdp: GT1,id,submitted_us,completed_us,drain_us
I (558703) extender_vdp: GT1,68,8119,12645,4526
I (558703) extender_vdp: GT1,69,8355,12660,4305
I (558704) extender_vdp: GT1,70,8140,12726,4586
I (558704) extender_vdp: GT1,71,8302,12751,4449
I (558705) extender_vdp: GT1,72,8768,9757,989
I (558705) extender_vdp: GT1,73,8462,9370,908
I (558706) extender_vdp: GT1,74,9952,13271,3319
I (558706) extender_vdp: GT1,75,8493,12961,4468
I (558707) extender_vdp: GT1,76,8511,13002,4491
I (558707) extender_vdp: GT1,77,21237,24043,2806
I (558708) extender_vdp: GT1,78,8458,10408,1950
I (558708) extender_vdp: GT1,79,8488,11983,3495
I (558709) extender_vdp: GT1,80,8503,11959,3456
I (558709) extender_vdp: GT1,81,8483,12008,3525
I (558710) extender_vdp: GT1,82,8509,12130,3621
I (558710) extender_vdp: GT1,83,8511,12067,3556
I (558711) extender_vdp: GT1,84,8857,13182,4325
I (558711) extender_vdp: GT1,85,8485,13142,4657
I (558712) extender_vdp: GT1,86,8477,13134,4657
I (558712) extender_vdp: GT1,87,8411,13162,4751
I (558713) extender_vdp: GT1,88,8464,13199,4735
I (558713) extender_vdp: GT1,89,9594,13706,4112
I (558714) extender_vdp: GT1,90,10713,12361,1648
I (558714) extender_vdp: GT1,91,8805,13801,4996
I (558715) extender_vdp: GT1,92,8604,9454,850
I (558715) extender_vdp: GT1,93,8475,9560,1085
I (558716) extender_vdp: GT1,94,8428,9516,1088
I (558716) extender_vdp: GT1,95,9262,12933,3671
I (558717) extender_vdp: GT1,96,8969,10706,1737
I (558717) extender_vdp: GT1,97,10358,11685,1327
I (558718) extender_vdp: GT1,98,9061,14022,4961
I (558718) extender_vdp: GT1,99,9106,13863,4757
I (558719) extender_vdp: GT1,100,9215,13910,4695
I (558719) extender_vdp: GT1,101,9827,14140,4313
I (558720) extender_vdp: GT1,102,9067,11267,2200
I (558720) extender_vdp: GT1,103,13025,17233,4208
I (558721) extender_vdp: GT1,104,10635,11713,1078
I (558721) extender_vdp: GT1,105,10191,11924,1733
I (558722) extender_vdp: GT1,106,10531,11784,1253
I (558722) extender_vdp: GT1,107,10351,11799,1448
I (558723) extender_vdp: GT1,108,10918,13094,2176
I (558723) extender_vdp: GT1,109,12415,13907,1492
I (558724) extender_vdp: GT1,110,11079,11925,846
I (558725) extender_vdp: GT1,111,11077,12110,1033
I (558725) extender_vdp: GT1,112,11044,11971,927
I (558725) extender_vdp: GT1,113,11102,12027,925
I (558726) extender_vdp: GT1,114,12021,16211,4190
I (558726) extender_vdp: GT1,115,22980,27273,4293
I (558727) extender_vdp: GT1,116,10753,12315,1562
I (558727) extender_vdp: GT1,117,10259,12174,1915
I (558728) extender_vdp: GT1,118,10079,12213,2134
I (558728) extender_vdp: GT1,119,10286,12418,2132
I (658127) extender_vdp: GT1,id,submitted_us,completed_us,drain_us
I (658128) extender_vdp: GT1,0,97695,97730,35
I (658128) extender_vdp: GT1,1,91386,91420,34
I (658129) extender_vdp: GT1,2,66421,66454,33
I (658129) extender_vdp: GT1,3,66455,66485,30
I (658130) extender_vdp: GT1,4,66428,66454,26
I (658130) extender_vdp: GT1,5,66463,66497,34
I (658130) extender_vdp: GT1,6,70622,70654,32
I (658131) extender_vdp: GT1,7,66450,66482,32
I (658131) extender_vdp: GT1,8,66447,66475,28
I (658131) extender_vdp: GT1,9,58137,58172,35
I (658132) extender_vdp: GT1,10,66457,66487,30
I (658132) extender_vdp: GT1,11,66451,66482,31
I (658133) extender_vdp: GT1,12,66446,66474,28
I (658133) extender_vdp: GT1,13,66452,66483,31
I (658133) extender_vdp: GT1,14,66461,66492,31
I (658134) extender_vdp: GT1,15,70607,70642,35
I (658134) extender_vdp: GT1,16,70707,70736,29
I (658135) extender_vdp: GT1,17,70748,70778,30
I (658135) extender_vdp: GT1,18,70715,70746,31
I (658136) extender_vdp: GT1,19,70741,70771,30
I (658136) extender_vdp: GT1,20,70748,70780,32
I (658136) extender_vdp: GT1,21,79044,79072,28
I (658137) extender_vdp: GT1,22,79066,79097,31
I (658137) extender_vdp: GT1,23,79070,79103,33
I (658138) extender_vdp: GT1,24,79063,79094,31
I (658138) extender_vdp: GT1,25,79084,79112,28
I (658138) extender_vdp: GT1,26,83214,83242,28
I (658139) extender_vdp: GT1,27,74919,74947,28
I (658139) extender_vdp: GT1,28,83253,83286,33
I (658140) extender_vdp: GT1,29,83225,83259,34
I (658140) extender_vdp: GT1,30,83229,83258,29
I (658141) extender_vdp: GT1,31,83230,83260,30
I (658141) extender_vdp: GT1,32,83252,83280,28
I (658141) extender_vdp: GT1,33,83220,83250,30
I (658142) extender_vdp: GT1,34,83232,83260,28
I (658142) extender_vdp: GT1,35,87396,87428,32
I (658143) extender_vdp: GT1,36,83230,83259,29
I (658143) extender_vdp: GT1,37,87427,87457,30
I (658143) extender_vdp: GT1,38,91553,91584,31
I (658144) extender_vdp: GT1,39,83242,83273,31
I (658144) extender_vdp: GT1,40,83218,83251,33
I (658145) extender_vdp: GT1,41,87372,87402,30
I (658145) extender_vdp: GT1,42,79080,79112,32
I (658146) extender_vdp: GT1,43,79027,79056,29
I (658146) extender_vdp: GT1,44,79057,79085,28
I (658146) extender_vdp: GT1,45,83214,83239,25
I (658147) extender_vdp: GT1,46,79090,79128,38
I (658147) extender_vdp: GT1,47,83212,83243,31
I (658148) extender_vdp: GT1,48,91555,91757,202
I (658148) extender_vdp: GT1,49,78892,78922,30
I (658149) extender_vdp: GT1,50,79055,79084,29
I (658149) extender_vdp: GT1,51,79076,79108,32
I (658149) extender_vdp: GT1,52,83239,83272,33
I (658150) extender_vdp: GT1,53,74867,74895,28
I (658150) extender_vdp: GT1,54,79100,79130,30
I (658151) extender_vdp: GT1,55,70717,70747,30
I (658151) extender_vdp: GT1,56,58241,58268,27
I (658151) extender_vdp: GT1,57,66576,66606,30
I (658152) extender_vdp: GT1,58,62374,62402,28
I (658152) extender_vdp: GT1,59,66579,66614,35
I (658152) extender_vdp: GT1,60,62381,62407,26
I (658153) extender_vdp: GT1,61,62404,62435,31
I (658153) extender_vdp: GT1,62,54068,54094,26
I (658154) extender_vdp: GT1,63,54061,54092,31
I (658154) extender_vdp: GT1,64,49906,49937,31
I (658155) extender_vdp: GT1,65,54067,54097,30
I (658155) extender_vdp: GT1,66,54058,54083,25
I (658155) extender_vdp: GT1,67,54074,54104,30
I (658156) extender_vdp: GT1,68,49893,49922,29
I (658156) extender_vdp: GT1,69,54049,54084,35
I (658157) extender_vdp: GT1,70,49886,49915,29
I (658157) extender_vdp: GT1,71,45721,45746,25
I (658158) extender_vdp: GT1,72,41573,41599,26
I (658158) extender_vdp: GT1,73,41548,41574,26
I (658158) extender_vdp: GT1,74,45750,45780,30
I (658159) extender_vdp: GT1,75,41560,41586,26
I (658159) extender_vdp: GT1,76,41569,41597,28
I (658160) extender_vdp: GT1,77,45745,45774,29
I (658160) extender_vdp: GT1,78,45741,45772,31
I (658160) extender_vdp: GT1,79,45715,45743,28
I (658161) extender_vdp: GT1,80,41556,41585,29
I (658161) extender_vdp: GT1,81,45709,45737,28
I (658162) extender_vdp: GT1,82,49899,49927,28
I (658162) extender_vdp: GT1,83,45741,45770,29
I (658163) extender_vdp: GT1,84,54068,54099,31
I (658163) extender_vdp: GT1,85,54076,54105,29
I (658164) extender_vdp: GT1,86,49903,49934,31
I (658164) extender_vdp: GT1,87,58222,58274,52
I (658165) extender_vdp: GT1,88,54060,54089,29
I (658165) extender_vdp: GT1,89,49894,49921,27
I (658166) extender_vdp: GT1,90,58241,58276,35
I (658166) extender_vdp: GT1,91,54078,54111,33
I (658167) extender_vdp: GT1,92,49870,49898,28
I (658167) extender_vdp: GT1,93,58245,58271,26
I (658167) extender_vdp: GT1,94,54045,54073,28
I (658168) extender_vdp: GT1,95,54074,54105,31
I (658168) extender_vdp: GT1,96,58240,58267,27
I (658168) extender_vdp: GT1,97,54073,54103,30
I (658169) extender_vdp: GT1,98,54080,54106,26
I (658169) extender_vdp: GT1,99,58208,58236,28
I (658170) extender_vdp: GT1,100,62392,62422,30
I (658170) extender_vdp: GT1,101,62405,62435,30
I (658171) extender_vdp: GT1,102,62396,62423,27
I (658171) extender_vdp: GT1,103,66579,66605,26
I (658172) extender_vdp: GT1,104,74890,74917,27
I (658172) extender_vdp: GT1,105,70729,70761,32
I (658173) extender_vdp: GT1,106,70718,70747,29
I (658173) extender_vdp: GT1,107,74919,74954,35
I (658174) extender_vdp: GT1,108,70726,70756,30
I (658174) extender_vdp: GT1,109,70726,70752,26
I (658175) extender_vdp: GT1,110,70743,70768,25
I (658175) extender_vdp: GT1,111,70727,70755,28
I (658176) extender_vdp: GT1,112,66572,66600,28
I (658176) extender_vdp: GT1,113,74891,74917,26
I (658177) extender_vdp: GT1,114,74902,74928,26
I (658177) extender_vdp: GT1,115,79063,79091,28
I (658178) extender_vdp: GT1,116,74908,74937,29
I (658178) extender_vdp: GT1,117,74896,74925,29
I (658179) extender_vdp: GT1,118,79063,79092,29
I (658179) extender_vdp: GT1,119,74914,74942,28
I (1014843) extender_vdp: GT1,id,submitted_us,completed_us,drain_us
I (1014844) extender_vdp: GT1,0,6224,7844,1620
I (1014844) extender_vdp: GT1,1,5458,7924,2466
I (1014845) extender_vdp: GT1,2,5586,8925,3339
I (1014845) extender_vdp: GT1,3,5434,7928,2494
I (1014845) extender_vdp: GT1,4,5541,7926,2385
I (1014846) extender_vdp: GT1,5,5766,8928,3162
I (1014846) extender_vdp: GT1,6,5473,7925,2452
I (1014847) extender_vdp: GT1,7,5983,7927,1944
I (1014847) extender_vdp: GT1,8,6035,8910,2875
I (1014847) extender_vdp: GT1,9,5703,7943,2240
I (1014848) extender_vdp: GT1,10,5737,7926,2189
I (1014848) extender_vdp: GT1,11,6083,8928,2845
I (1014849) extender_vdp: GT1,12,5649,7963,2314
I (1014849) extender_vdp: GT1,13,5752,7889,2137
I (1014850) extender_vdp: GT1,14,6228,8928,2700
I (1014850) extender_vdp: GT1,15,5937,7927,1990
I (1014850) extender_vdp: GT1,16,6046,7926,1880
I (1014851) extender_vdp: GT1,17,6242,7618,1376
I (1014851) extender_vdp: GT1,18,6031,7098,1067
I (1014852) extender_vdp: GT1,19,5991,7318,1327
I (1014852) extender_vdp: GT1,20,6092,7669,1577
I (1014852) extender_vdp: GT1,21,6408,7217,809
I (1014853) extender_vdp: GT1,22,6284,7361,1077
I (1014853) extender_vdp: GT1,23,6564,7712,1148
I (1014854) extender_vdp: GT1,24,6282,7188,906
I (1014854) extender_vdp: GT1,25,6296,7410,1114
I (1014854) extender_vdp: GT1,26,6289,7758,1469
I (1014855) extender_vdp: GT1,27,6296,7241,945
I (1014855) extender_vdp: GT1,28,6612,7459,847
I (1014856) extender_vdp: GT1,29,6598,7796,1198
I (1014856) extender_vdp: GT1,30,6320,7283,963
I (1014856) extender_vdp: GT1,31,6305,7501,1196
I (1014857) extender_vdp: GT1,32,6352,7848,1496
I (1014858) extender_vdp: GT1,33,6357,7295,938
I (1014858) extender_vdp: GT1,34,6359,7542,1183
I (1014858) extender_vdp: GT1,35,6652,7893,1241
I (1014859) extender_vdp: GT1,36,6353,7346,993
I (1014859) extender_vdp: GT1,37,6284,7588,1304
I (1014860) extender_vdp: GT1,38,6347,7927,1580
I (1014860) extender_vdp: GT1,39,6469,7378,909
I (1014860) extender_vdp: GT1,40,6066,7631,1565
