GT1,id,submitted_us,completed_us,drain_us
GT1,81,80202,80219,17
GT1,82,83635,83653,18
GT1,83,70345,70364,19
GT1,84,66177,66195,18
GT1,85,82378,82397,19
GT1,86,76628,76646,18
GT1,87,77261,77280,19
GT1,88,78872,78889,17
GT1,89,81076,81092,16
GT1,90,72527,72542,15
GT1,91,77909,77926,17
GT1,92,77146,77163,17
GT1,93,80468,80485,17
GT1,94,73805,73822,17
GT1,95,79122,79139,17
GT1,96,78759,78776,17
GT1,97,65572,65586,14
GT1,98,76936,76950,14
GT1,99,72792,72809,17
GT1,100,76965,76982,17
GT1,101,65472,65489,17
GT1,102,77184,77212,28
GT1,103,70482,70499,17
GT1,104,61536,61553,17
GT1,105,69098,69115,17
GT1,106,60251,60265,14
GT1,107,69692,69706,14
GT1,108,62502,62519,17
GT1,109,80072,80089,17
GT1,110,78440,78457,17
GT1,111,81826,81854,28
GT1,112,84911,84928,17
GT1,113,81591,81608,17
GT1,114,77616,77632,16
GT1,115,88728,88742,14
GT1,116,81176,81191,15
GT1,117,85159,85176,17
GT1,118,86865,86882,17
GT1,119,90812,90829,17
GT1,id,submitted_us,completed_us,drain_us
GT1,0,107012,107030,18
GT1,1,104173,104193,20
GT1,2,78161,78180,19
GT1,3,83536,83556,20
GT1,4,79396,79414,18
GT1,5,87366,87386,20
GT1,6,84495,84515,20
GT1,7,79296,79313,17
GT1,8,80225,80242,17
GT1,9,85162,85182,20
GT1,10,86993,87013,20
GT1,11,88061,88081,20
GT1,12,99802,99819,17
GT1,13,94102,94120,18
GT1,14,90943,90961,18
GT1,15,98858,98878,20
GT1,16,95703,95722,19
GT1,17,96448,96469,21
GT1,18,99948,99968,20
GT1,19,108251,108270,19
GT1,20,105405,105420,15
GT1,21,107047,107062,15
GT1,22,110036,110056,20
GT1,23,99572,99593,21
GT1,24,93151,93172,21
GT1,25,91975,91996,21
GT1,26,96354,96373,19
GT1,27,100434,100454,20
GT1,28,99566,99587,21
GT1,29,81573,81590,17
GT1,30,87162,87179,17
GT1,31,85577,85594,17
GT1,32,82629,82647,18
GT1,33,71127,71147,20
GT1,34,71173,71193,20
GT1,35,67698,67717,19
GT1,36,71272,71290,18
GT1,37,69027,69046,19
GT1,38,61763,61790,27
GT1,39,63300,63317,17
GT1,40,63579,63598,19
GT1,41,53923,53942,19
GT1,42,56039,56056,17
GT1,43,55064,55083,19
GT1,44,55992,56010,18
GT1,45,58340,58368,28
GT1,46,55494,55512,18
GT1,47,65721,65739,18
GT1,48,69665,69683,18
GT1,49,64959,64977,18
GT1,50,53968,53985,17
GT1,51,71316,71333,17
GT1,52,63023,63040,17
GT1,53,67614,67631,17
GT1,54,65882,65899,17
GT1,55,69240,69257,17
GT1,56,65924,65941,17
