case,variant,kind,exact,failure,bytes,encode_ms,original_cli_exact,sha256
tiny,szip-o6-b131072-r1-i0,szip,True,,25,0.004316666666666667,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o6-b4259840-r1-i0,szip,True,,25,0.00443,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b4259840-r1-i1,szip,True,,25,0.004346666666666667,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b4259840-r2-i0,szip,True,,25,0.004333333333333333,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b4259840-r2-i1,szip,True,,25,0.004376666666666667,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b4259840-r3-i0,szip,True,,25,0.004353333333333333,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b4259840-r3-i1,szip,True,,25,0.0042966666666666665,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b4259840-r4-i0,szip,True,,25,0.004236666666666666,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b4259840-r4-i1,szip,True,,25,0.004386666666666666,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b4259840-r8-i0,szip,True,,25,0.004339666666666667,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b4259840-r8-i1,szip,True,,25,0.00442,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b4259840-r1-i1,szip,True,,25,0.00488,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b4259840-r2-i0,szip,True,,25,0.0044466666666666665,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b4259840-r2-i1,szip,True,,25,0.004353333333333333,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b4259840-r3-i0,szip,True,,25,0.004363333333333334,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b4259840-r3-i1,szip,True,,25,0.00436,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b4259840-r4-i0,szip,True,,25,0.004403333333333334,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b4259840-r4-i1,szip,True,,25,0.004376666666666667,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b4259840-r8-i0,szip,True,,25,0.00439,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b4259840-r8-i1,szip,True,,25,0.004343333333333334,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,srle2-o0-b32768-r1-i0,srle2,True,,46,0.009993333333333333,False,8528ed792a620b7b133f3b0ed6c2d879a891aad6b49cfde759e64ed89153d3cc
tiny,srle2-o0-b131072-r1-i0,srle2,True,,46,0.007676333333333334,False,8528ed792a620b7b133f3b0ed6c2d879a891aad6b49cfde759e64ed89153d3cc
tiny,srle2-o0-b4259840-r1-i0,srle2,True,,46,0.00756,False,8528ed792a620b7b133f3b0ed6c2d879a891aad6b49cfde759e64ed89153d3cc
tiny,srle2-o3-b32768-r1-i0,srle2,True,,46,0.030346333333333333,False,edd3b65fdbc91f5f827a263508b2db28fbc9510b76d75f73428ee25009e43ae8
tiny,srle2-o3-b131072-r1-i0,srle2,True,,46,0.029109666666666666,False,edd3b65fdbc91f5f827a263508b2db28fbc9510b76d75f73428ee25009e43ae8
tiny,srle2-o3-b4259840-r1-i0,srle2,True,,46,0.0292,False,edd3b65fdbc91f5f827a263508b2db28fbc9510b76d75f73428ee25009e43ae8
tiny,srle2-o4-b32768-r1-i0,srle2,True,,46,0.049703000000000004,False,d4144a77c599a62a93afb1c78d5cc0e6d33e71fe4467751d1eac1e811e046245
tiny,srle2-o4-b131072-r1-i0,srle2,True,,46,0.028439666666666665,False,d4144a77c599a62a93afb1c78d5cc0e6d33e71fe4467751d1eac1e811e046245
tiny,srle2-o4-b4259840-r1-i0,srle2,True,,46,0.041556666666666665,False,d4144a77c599a62a93afb1c78d5cc0e6d33e71fe4467751d1eac1e811e046245
tiny,srle2-o6-b32768-r1-i0,srle2,True,,46,0.029583333333333333,False,df45e8312c0d3d0adadf53817322e02bf2c6306de6d110f1f87ee11aeed30191
tiny,srle2-o6-b131072-r1-i0,srle2,True,,46,0.030259666666666667,False,df45e8312c0d3d0adadf53817322e02bf2c6306de6d110f1f87ee11aeed30191
tiny,srle2-o6-b4259840-r1-i0,srle2,True,,46,0.029113,False,df45e8312c0d3d0adadf53817322e02bf2c6306de6d110f1f87ee11aeed30191
tiny,srle2-o0-b4259840-r1-i1,srle2,True,,48,0.008036666666666668,False,8ffa874973f70a7295b6f383dd3ef390bcc1d217cccfac3c995449daa3dc5db2
tiny,srle2-o0-b4259840-r2-i0,srle2,True,,47,0.0077466666666666665,False,b7e2898d76bf85d4f7a02797b91a80b9371af7e5e537c9d4ae567e84d8920f4c
tiny,srle2-o0-b4259840-r2-i1,srle2,True,,49,0.007813333333333334,False,0431eff9fb6cf7a85ff44dae433d5685da6b1ecb32fa24ea4945eaa374da9a1d
tiny,srle2-o0-b4259840-r3-i0,srle2,True,,47,0.0077866666666666666,False,5d5870f13bbecf8ee655f429e3d4055482b05d60e349d122fd626010a381a321
tiny,srle2-o0-b4259840-r3-i1,srle2,True,,49,0.007996666666666666,False,581829336be8f6f30409f9b652683b3b7de3ffc3e5b6886f752bb5a78420ba7a
tiny,srle2-o0-b4259840-r4-i0,srle2,True,,46,0.008003333333333333,False,e9f195c1f759cad868368dbab2e07832801b452237df04e77bb8f60d976d5eca
